TIME;TPF ALL AVG
2025-11-09 19:45:00;-0,1
2025-11-09 19:55:00;-0,09
2025-11-09 20:05:00;-0,08
2025-11-09 20:15:00;-0,08
2025-11-09 20:25:00;-0,08
2025-11-09 20:35:00;-0,08
2025-11-09 20:45:00;-0,08
2025-11-09 20:55:00;-0,09
2025-11-09 21:05:00;-0,09
2025-11-09 21:15:00;-0,09
2025-11-09 21:25:00;-0,09
2025-11-09 21:35:00;-0,09
2025-11-09 21:45:00;-0,09
2025-11-09 21:55:00;-0,09
2025-11-09 22:05:00;-0,09
2025-11-09 22:15:00;-0,09
2025-11-09 22:25:00;-0,09
2025-11-09 22:35:00;-0,09
2025-11-09 22:45:00;-0,09
2025-11-09 22:55:00;-0,09
2025-11-09 23:05:00;-0,09
2025-11-09 23:15:00;-0,09
2025-11-09 23:25:00;-0,09
2025-11-09 23:35:00;-0,07
2025-11-09 23:45:00;0,04
2025-11-09 23:55:00;0,05
2025-11-10 00:05:00;0,05
2025-11-10 00:15:00;0,05
2025-11-10 00:25:00;0,05
2025-11-10 00:35:00;0,05
2025-11-10 00:45:00;0,05
2025-11-10 00:55:00;0,05
2025-11-10 01:05:00;0,05
2025-11-10 01:15:00;0,05
2025-11-10 01:25:00;0,05
2025-11-10 01:35:00;0,01
2025-11-10 01:45:00;-0,08
2025-11-10 01:55:00;-0,08
2025-11-10 02:05:00;-0,09
2025-11-10 02:15:00;-0,08
2025-11-10 02:25:00;-0,08
2025-11-10 02:35:00;-0,08
2025-11-10 02:45:00;-0,1
2025-11-10 02:55:00;-0,09
2025-11-10 03:05:00;-0,09
2025-11-10 03:15:00;-0,08
2025-11-10 03:25:00;-0,08
2025-11-10 03:35:00;-0,08
2025-11-10 03:45:00;-0,1
2025-11-10 03:55:00;-0,09
2025-11-10 04:05:00;-0,08
2025-11-10 04:15:00;-0,09
2025-11-10 04:25:00;-0,08
2025-11-10 04:35:00;-0,09
2025-11-10 04:45:00;-0,08
2025-11-10 04:55:00;-0,08
2025-11-10 05:05:00;-0,09
2025-11-10 05:15:00;-0,08
2025-11-10 05:25:00;-0,09
2025-11-10 05:35:00;-0,09
2025-11-10 05:45:00;-0,09
2025-11-10 05:55:00;-0,09
2025-11-10 06:05:00;-0,08
2025-11-10 06:15:00;-0,08
2025-11-10 06:25:00;-0,08
2025-11-10 06:35:00;-0,08
2025-11-10 06:45:00;-0,08
2025-11-10 06:55:00;-0,08
2025-11-10 07:05:00;-0,08
2025-11-10 07:15:00;-0,08
2025-11-10 07:25:00;-0,08
2025-11-10 07:35:00;-0,01
2025-11-10 07:45:00;-0,27
2025-11-10 07:55:00;-0,72
